HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Bolivia,Peru,2022,1,0,1
Colombia,Brazil,2022,0,0,0
Venezuela,Ecuador,2022,2,1,3
Argentina,Uruguay,2022,3,0,3
Chile,Paraguay,2022,2,0,2
Maldives,Sri Lanka,2022,1,0,1
Nepal,India,2022,0,1,1
Italy,Belgium,2022,2,1,3
Spain,France,2022,1,2,3
Belarus,Czech Republic,2022,0,2,2
Estonia,Wales,2022,0,1,1
Netherlands,Gibraltar,2022,6,0,6
Norway,Montenegro,2022,2,0,2
Latvia,Turkey,2022,1,2,3
Cyprus,Malta,2022,2,2,4
Croatia,Slovakia,2022,2,2,4
Slovenia,Russia,2022,1,2,3
Iceland,Liechtenstein,2022,4,0,4
North Macedonia,Germany,2022,0,4,4
Romania,Armenia,2022,1,0,1
Burkina Faso,Djibouti,2022,2,0,2
Mozambique,Cameroon,2022,0,1,1
Côte d'Ivoire,Malawi,2022,2,1,3
Gabon,Angola,2022,2,0,2
Libya,Egypt,2022,0,3,3
Chinese Taipei,Indonesia,2022,0,3,3
IR Iran,Korea Republic,2022,1,1,2
Syria,Lebanon,2022,2,3,5
United Arab Emirates,Iraq,2022,2,2,4
Japan,Australia,2022,2,1,3
Oman,Vietnam,2022,3,1,4
Saudi Arabia,China PR,2022,3,2,5
Portugal,Luxembourg,2022,5,0,5
Serbia,Azerbaijan,2022,3,1,4
Kosovo,Georgia,2022,1,2,3
Sweden,Greece,2022,2,0,2
Bulgaria,Northern Ireland,2022,2,1,3
Lithuania,Switzerland,2022,0,4,4
Kazakhstan,Finland,2022,0,2,2
Ukraine,Bosnia and Herzegovina,2022,1,1,2
Faroe Islands,Scotland,2022,0,1,1
Denmark,Austria,2022,1,0,1
Israel,Moldova,2022,2,1,3
England,Hungary,2022,1,1,2
Albania,Poland,2022,0,1,1
San Marino,Andorra,2022,0,3,3
Niger,Algeria,2022,0,4,4
Zimbabwe,Ghana,2022,0,1,1
South Africa,Ethiopia,2022,1,0,1
Namibia,Senegal,2022,1,3,4
Congo,Togo,2022,1,2,3
Bahrain,New Zealand,2022,0,1,1
Jordan,Uzbekistan,2022,3,0,3
Republic of Ireland,Qatar,2022,4,0,4
South Sudan,Gambia,2022,1,2,3
Cambodia,Guam,2022,2,1,3
Morocco,Guinea,2022,4,1,5
Honduras,Jamaica,2022,0,2,2
USA,Costa Rica,2022,2,1,3
Canada,Panama,2022,4,1,5
El Salvador,Mexico,2022,0,2,2
Bangladesh,Nepal,2022,1,1,2
Maldives,India,2022,1,3,4
Bolivia,Paraguay,2022,4,0,4
Colombia,Ecuador,2022,0,0,0
Argentina,Peru,2022,1,0,1
Brazil,Uruguay,2022,4,1,5
Chile,Venezuela,2022,3,0,3
India,Nepal,2022,3,0,3
Mexico,Ecuador,2022,2,3,5
El Salvador,Bolivia,2022,0,1,1
Sri Lanka,Maldives,2022,4,4,8
Kosovo,Jordan,2022,0,2,2
Nicaragua,Cuba,2022,0,3,3
Bangladesh,Seychelles,2022,1,1,2
Czech Republic,Kuwait,2022,7,0,7
Kyrgyz Republic,Singapore,2022,2,1,3
Serbia,Qatar,2022,4,0,4
Ukraine,Bulgaria,2022,1,1,2
Uganda,Kenya,2022,1,1,2
Rwanda,Mali,2022,0,3,3
Ethiopia,Ghana,2022,1,1,2
South Africa,Zimbabwe,2022,1,0,1
Congo,Namibia,2022,1,1,2
Togo,Senegal,2022,1,1,2
Tanzania,Congo DR,2022,0,3,3
Benin,Madagascar,2022,2,0,2
Lebanon,IR Iran,2022,1,2,3
Iraq,Syria,2022,1,1,2
Korea Republic,United Arab Emirates,2022,1,0,1
China PR,Oman,2022,1,1,2
Vietnam,Japan,2022,0,1,1
Australia,Saudi Arabia,2022,0,0,0
Republic of Ireland,Portugal,2022,0,0,0
Azerbaijan,Luxembourg,2022,1,3,4
Georgia,Sweden,2022,2,0,2
Greece,Spain,2022,0,1,1
Russia,Cyprus,2022,6,0,6
Malta,Croatia,2022,1,7,8
Slovakia,Slovenia,2022,2,2,4
Germany,Liechtenstein,2022,9,0,9
Armenia,North Macedonia,2022,0,5,5
Romania,Iceland,2022,0,0,0
Ecuador,Venezuela,2022,1,0,1
Paraguay,Chile,2022,0,1,1
Peru,Bolivia,2022,3,0,3
Brazil,Colombia,2022,1,0,1
Burkina Faso,Niger,2022,1,1,2
Djibouti,Algeria,2022,0,4,4
Gabon,Libya,2022,1,0,1
Angola,Egypt,2022,2,2,4
Guinea,Guinea-Bissau,2022,0,0,0
Morocco,Sudan,2022,3,0,3
Canada,Costa Rica,2022,1,0,1
Honduras,Panama,2022,2,3,5
El Salvador,Jamaica,2022,1,1,2
USA,Mexico,2022,2,0,2
Northern Ireland,Lithuania,2022,1,0,1
Italy,Switzerland,2022,1,1,2
Moldova,Scotland,2022,0,2,2
Denmark,Faroe Islands,2022,3,1,4
Austria,Israel,2022,4,2,6
England,Albania,2022,5,0,5
Andorra,Poland,2022,1,4,5
Hungary,San Marino,2022,4,0,4
Uruguay,Argentina,2022,0,1,1
Burundi,Myanmar,2022,2,1,3
Nicaragua,Cuba,2022,2,0,2
Sierra Leone,Comoros,2022,0,2,2
Bangladesh,Maldives,2022,2,1,3
Sri Lanka,Seychelles,2022,0,1,1
Zambia,Mauritania,2022,4,0,4
Equatorial Guinea,Tunisia,2022,1,0,1
Cabo Verde,Central African Republic,2022,2,1,3
Liberia,Nigeria,2022,0,2,2
Malawi,Cameroon,2022,0,4,4
Côte d'Ivoire,Mozambique,2022,3,0,3
Bosnia and Herzegovina,Finland,2022,1,3,4
France,Kazakhstan,2022,8,0,8
Wales,Belarus,2022,5,1,6
Belgium,Estonia,2022,3,1,4
Norway,Latvia,2022,0,0,0
Turkey,Gibraltar,2022,6,0,6
Montenegro,Netherlands,2022,2,2,4
Azerbaijan,Qatar,2022,2,2,4
Nicaragua,Cuba,2022,2,0,2
Mali,Uganda,2022,1,0,1
Zimbabwe,Ethiopia,2022,1,1,2
Ghana,South Africa,2022,1,0,1
Senegal,Congo,2022,2,0,2
Congo DR,Benin,2022,2,0,2
Madagascar,Tanzania,2022,1,1,2
Portugal,Serbia,2022,1,2,3
Luxembourg,Republic of Ireland,2022,0,3,3
Spain,Sweden,2022,1,0,1
Greece,Kosovo,2022,1,1,2
Croatia,Russia,2022,1,0,1
Malta,Slovakia,2022,0,6,6
Slovenia,Cyprus,2022,2,1,3
Liechtenstein,Romania,2022,0,2,2
North Macedonia,Iceland,2022,3,1,4
Armenia,Germany,2022,1,4,5
Georgia,Uzbekistan,2022,1,0,1
Lithuania,Kuwait,2022,1,1,2
Niger,Djibouti,2022,7,2,9
Kenya,Rwanda,2022,2,1,3
Namibia,Togo,2022,0,1,1
Guinea-Bissau,Sudan,2022,0,0,0
Northern Ireland,Italy,2022,0,0,0
Switzerland,Bulgaria,2022,4,0,4
Scotland,Denmark,2022,2,0,2
Austria,Moldova,2022,4,1,5
Israel,Faroe Islands,2022,3,2,5
Albania,Andorra,2022,1,0,1
Poland,Hungary,2022,1,2,3
San Marino,England,2022,0,10,10
Bahrain,Kyrgyz Republic,2022,4,2,6
Belarus,Jordan,2022,1,0,1
Kazakhstan,Tajikistan,2022,1,0,1
New Zealand,Gambia,2022,2,0,2
Indonesia,Afghanistan,2022,0,1,1
Maldives,Seychelles,2022,0,0,0
Sri Lanka,Bangladesh,2022,2,1,3
Algeria,Burkina Faso,2022,2,2,4
Mauritania,Equatorial Guinea,2022,1,1,2
Tunisia,Zambia,2022,3,1,4
Liberia,Central African Republic,2022,3,1,4
Nigeria,Cabo Verde,2022,1,1,2
Mozambique,Malawi,2022,1,0,1
Cameroon,Côte d'Ivoire,2022,1,0,1
Egypt,Gabon,2022,2,1,3
Libya,Angola,2022,1,1,2
Morocco,Guinea,2022,3,0,3
Lebanon,United Arab Emirates,2022,0,1,1
Iraq,Korea Republic,2022,0,3,3
Syria,IR Iran,2022,0,3,3
China PR,Australia,2022,1,1,2
Vietnam,Saudi Arabia,2022,0,1,1
Oman,Japan,2022,0,1,1
Jamaica,USA,2022,1,1,2
Canada,Mexico,2022,2,1,3
Costa Rica,Honduras,2022,2,1,3
Panama,El Salvador,2022,2,1,3
Bosnia and Herzegovina,Ukraine,2022,0,2,2
Finland,France,2022,0,2,2
Wales,Belgium,2022,1,1,2
Czech Republic,Estonia,2022,2,0,2
Gibraltar,Latvia,2022,1,3,4
Montenegro,Turkey,2022,1,2,3
Netherlands,Norway,2022,2,0,2
Bolivia,Uruguay,2022,3,0,3
Venezuela,Peru,2022,1,2,3
Colombia,Paraguay,2022,0,0,0
Argentina,Brazil,2022,0,0,0
Chile,Ecuador,2022,0,2,2
Sri Lanka,Seychelles,2022,3,3,6
Indonesia,Myanmar,2022,4,1,5
Iraq,Oman,2022,1,1,2
Qatar,Bahrain,2022,1,0,1
Tunisia,Mauritania,2022,5,1,6
United Arab Emirates,Syria,2022,2,1,3
Morocco,Palestine,2022,4,0,4
Saudi Arabia,Jordan,2022,0,1,1
Algeria,Sudan,2022,4,0,4
Egypt,Lebanon,2022,1,0,1
Bahrain,Iraq,2022,0,0,0
Qatar,Oman,2022,2,1,3
Mauritania,United Arab Emirates,2022,0,1,1
Syria,Tunisia,2022,2,0,2
El Salvador,Ecuador,2022,1,1,2
Jordan,Morocco,2022,0,4,4
Palestine,Saudi Arabia,2022,1,1,2
Lebanon,Algeria,2022,0,2,2
Sudan,Egypt,2022,0,5,5
Oman,Bahrain,2022,3,0,3
Qatar,Iraq,2022,3,0,3
Syria,Mauritania,2022,1,2,3
Tunisia,United Arab Emirates,2022,1,0,1
Jordan,Palestine,2022,5,1,6
Morocco,Saudi Arabia,2022,1,0,1
Algeria,Egypt,2022,1,1,2
Lebanon,Sudan,2022,1,0,1
Mexico,Chile,2022,2,2,4
Tanzania,Uganda,2022,0,2,2
Tunisia,Oman,2022,2,1,3
Qatar,United Arab Emirates,2022,5,0,5
Egypt,Jordan,2022,3,1,4
Morocco,Algeria,2022,2,2,4
El Salvador,Chile,2022,0,1,1
Tunisia,Egypt,2022,1,0,1
Qatar,Algeria,2022,1,2,3
Qatar,Egypt,2022,0,0,0
Tunisia,Algeria,2022,0,2,2
USA,Bosnia and Herzegovina,2022,1,0,1
Mauritania,Burkina Faso,2022,0,0,0
Sudan,Ethiopia,2022,2,3,5
Malawi,Comoros,2022,2,1,3
Gabon,Burkina Faso,2022,0,3,3
Sudan,Zimbabwe,2022,0,0,0
Rwanda,Guinea,2022,3,0,3
Mauritania,Gabon,2022,1,1,2
Algeria,Ghana,2022,3,0,3
Rwanda,Guinea,2022,0,2,2
Cameroon,Burkina Faso,2022,2,1,3
Ethiopia,Cabo Verde,2022,0,1,1
Senegal,Zimbabwe,2022,1,0,1
Guinea,Malawi,2022,1,0,1
Morocco,Ghana,2022,1,0,1
Comoros,Gabon,2022,0,1,1
Nigeria,Egypt,2022,1,0,1
Sudan,Guinea-Bissau,2022,0,0,0
Algeria,Sierra Leone,2022,0,0,0
Iceland,Uganda,2022,1,1,2
Equatorial Guinea,Côte d'Ivoire,2022,0,1,1
Tunisia,Mali,2022,0,1,1
Mauritania,Gambia,2022,0,1,1
Cameroon,Ethiopia,2022,4,1,5
Cabo Verde,Burkina Faso,2022,0,1,1
Senegal,Guinea,2022,0,0,0
Malawi,Zimbabwe,2022,2,1,3
Morocco,Comoros,2022,2,0,2
Gabon,Ghana,2022,1,1,2
Korea Republic,Iceland,2022,5,1,6
Nigeria,Sudan,2022,3,1,4
Guinea-Bissau,Egypt,2022,0,1,1
Colombia,Honduras,2022,2,1,3
Peru,Panama,2022,1,1,2
Côte d'Ivoire,Sierra Leone,2022,2,2,4
Algeria,Equatorial Guinea,2022,0,1,1
Gambia,Mali,2022,1,1,2
Tunisia,Mauritania,2022,4,0,4
Burkina Faso,Ethiopia,2022,1,1,2
Cameroon,Cabo Verde,2022,1,1,2
Moldova,Uganda,2022,2,3,5
Malawi,Senegal,2022,0,0,0
Zimbabwe,Guinea,2022,2,1,3
Gabon,Morocco,2022,2,2,4
Ghana,Comoros,2022,2,3,5
Egypt,Sudan,2022,1,0,1
Guinea-Bissau,Nigeria,2022,0,2,2
Korea Republic,Moldova,2022,4,0,4
Peru,Jamaica,2022,3,0,3
Côte d'Ivoire,Algeria,2022,3,1,4
Sierra Leone,Equatorial Guinea,2022,0,1,1
Gambia,Tunisia,2022,1,0,1
Mali,Mauritania,2022,2,0,2
Bolivia,Trinidad and Tobago,2022,5,0,5
Iraq,Uganda,2022,1,0,1
Burkina Faso,Gabon,2022,1,1,2
Nigeria,Tunisia,2022,0,1,1
Cameroon,Comoros,2022,2,1,3
Guinea,Gambia,2022,0,1,1
Morocco,Malawi,2022,2,1,3
Senegal,Cabo Verde,2022,2,0,2
Côte d'Ivoire,Egypt,2022,0,0,0
Mali,Equatorial Guinea,2022,0,0,0
Bahrain,Uganda,2022,3,1,4
Indonesia,Timor-Leste,2022,4,1,5
Uzbekistan,South Sudan,2022,3,0,3
Jamaica,Mexico,2022,1,2,3
USA,El Salvador,2022,1,0,1
Honduras,Canada,2022,0,2,2
Costa Rica,Panama,2022,1,0,1
Lebanon,Korea Republic,2022,0,1,1
IR Iran,Iraq,2022,1,0,1
United Arab Emirates,Syria,2022,2,0,2
Japan,China PR,2022,2,0,2
Australia,Vietnam,2022,4,0,4
Saudi Arabia,Oman,2022,1,0,1
Ecuador,Brazil,2022,1,1,2
Paraguay,Uruguay,2022,0,1,1
Chile,Argentina,2022,1,2,3
Jordan,New Zealand,2022,3,1,4
Suriname,Barbados,2022,1,0,1
Colombia,Peru,2022,0,1,1
Venezuela,Bolivia,2022,4,1,5
Kuwait,Libya,2022,2,0,2
Nepal,Mauritius,2022,1,0,1
Nicaragua,Belize,2022,4,0,4
Burkina Faso,Tunisia,2022,1,0,1
Cameroon,Gambia,2022,2,0,2
Indonesia,Timor-Leste,2022,3,0,3
Egypt,Morocco,2022,2,1,3
Senegal,Equatorial Guinea,2022,3,1,4
Canada,USA,2022,2,0,2
Mexico,Costa Rica,2022,0,0,0
Panama,Jamaica,2022,3,2,5
Honduras,El Salvador,2022,0,2,2
Bahrain,Congo DR,2022,1,0,1
Kuwait,Libya,2022,0,2,2
Nepal,Mauritius,2022,1,0,1
Nicaragua,Belize,2022,1,1,2
Suriname,Guyana,2022,2,1,3
Lebanon,Iraq,2022,1,1,2
IR Iran,United Arab Emirates,2022,1,0,1
Syria,Korea Republic,2022,0,2,2
Vietnam,China PR,2022,3,1,4
Japan,Saudi Arabia,2022,2,0,2
Oman,Australia,2022,2,2,4
Bolivia,Chile,2022,2,3,5
Uruguay,Venezuela,2022,4,1,5
Argentina,Colombia,2022,1,0,1
Peru,Ecuador,2022,1,1,2
Brazil,Paraguay,2022,4,0,4
Burkina Faso,Senegal,2022,1,3,4
USA,Honduras,2022,3,0,3
Jamaica,Costa Rica,2022,0,1,1
El Salvador,Canada,2022,0,2,2
Mexico,Panama,2022,1,0,1
Cameroon,Egypt,2022,0,0,0
Cameroon,Burkina Faso,2022,3,3,6
Senegal,Egypt,2022,0,0,0
Cook Islands,Solomon Islands,2022,0,2,2
Papua New Guinea,New Zealand,2022,0,1,1
New Caledonia,Fiji,2022,1,2,3
Iraq,Zambia,2022,3,1,4
Mauritius,Seychelles,2022,0,0,0
Papua New Guinea,New Caledonia,2022,1,0,1
New Zealand,Fiji,2022,4,0,4
Bahrain,India,2022,2,1,3
Gibraltar,Grenada,2022,0,0,0
Guinea-Bissau,Equatorial Guinea,2022,3,0,3
Laos,Mongolia,2022,1,0,1
Malaysia,Philippines,2022,2,0,2
Mozambique,Niger,2022,1,1,2
Tanzania,Central African Republic,2022,3,1,4
Chad,Gambia,2022,0,1,1
Djibouti,South Sudan,2022,2,4,6
Seychelles,Lesotho,2022,0,0,0
Somalia,Eswatini,2022,0,3,3
Jamaica,El Salvador,2022,1,1,2
Mexico,USA,2022,0,0,0
Panama,Honduras,2022,1,1,2
Costa Rica,Canada,2022,1,0,1
Lebanon,Syria,2022,0,3,3
Iraq,United Arab Emirates,2022,1,0,1
Korea Republic,IR Iran,2022,2,0,2
China PR,Saudi Arabia,2022,1,1,2
Vietnam,Oman,2022,0,1,1
Australia,Japan,2022,0,2,2
Solomon Islands,Tahiti,2022,3,1,4
Fiji,Papua New Guinea,2022,1,2,3
New Zealand,New Caledonia,2022,7,1,8
Colombia,Bolivia,2022,3,0,3
Brazil,Chile,2022,4,0,4
Paraguay,Ecuador,2022,3,1,4
Uruguay,Peru,2022,1,0,1
Italy,North Macedonia,2022,0,1,1
Portugal,Turkey,2022,3,1,4
Sweden,Czech Republic,2022,1,0,1
Wales,Austria,2022,2,1,3
Armenia,Montenegro,2022,1,0,1
Guatemala,Cuba,2022,1,0,1
Hungary,Serbia,2022,0,1,1
Kosovo,Burkina Faso,2022,5,0,5
Liberia,Benin,2022,0,4,4
Maldives,Bangladesh,2022,2,0,2
Scotland,Poland,2022,1,1,2
Thailand,Nepal,2022,2,0,2
Togo,Sierra Leone,2022,3,0,3
Estonia,Cyprus,2022,0,0,0
Moldova,Kazakhstan,2022,1,2,3
Mauritius,São Tomé and Príncipe,2022,3,0,3
Cameroon,Algeria,2022,0,1,1
Congo DR,Morocco,2022,1,1,2
Egypt,Senegal,2022,1,0,1
Ghana,Nigeria,2022,0,0,0
Mali,Tunisia,2022,0,1,1
Argentina,Venezuela,2022,3,0,3
Andorra,St. Kitts and Nevis,2022,1,0,1
Bosnia and Herzegovina,Georgia,2022,0,1,1
Cabo Verde,Liechtenstein,2022,6,0,6
Comoros,Ethiopia,2022,2,1,3
Congo,Zambia,2022,1,3,4
France,Côte d'Ivoire,2022,2,1,3
Latvia,Kuwait,2022,1,1,2
Luxembourg,Northern Ireland,2022,1,3,4
Malta,Azerbaijan,2022,1,0,1
Norway,Slovakia,2022,2,0,2
Romania,Greece,2022,0,1,1
San Marino,Lithuania,2022,1,2,3
South Africa,Guinea,2022,0,0,0
Tajikistan,Uganda,2022,1,1,2
Trinidad and Tobago,Barbados,2022,9,0,9
Uzbekistan,Kyrgyz Republic,2022,3,1,4
Angola,Guinea-Bissau,2022,3,2,5
Bahrain,Burundi,2022,1,0,1
Belarus,India,2022,3,0,3
Central African Republic,Sudan,2022,0,0,0
Croatia,Slovenia,2022,1,1,2
England,Switzerland,2022,2,1,3
Finland,Iceland,2022,1,1,2
Germany,Israel,2022,2,0,2
Gibraltar,Faroe Islands,2022,0,0,0
Libya,Niger,2022,2,1,3
Mauritania,Mozambique,2022,2,1,3
Netherlands,Denmark,2022,4,2,6
Qatar,Bulgaria,2022,2,1,3
Republic of Ireland,Belgium,2022,2,2,4
Singapore,Malaysia,2022,2,1,3
Spain,Albania,2022,2,1,3
El Salvador,Costa Rica,2022,1,2,3
Canada,Jamaica,2022,4,0,4
Honduras,Mexico,2022,0,1,1
USA,Panama,2022,5,1,6
New Zealand,Tahiti,2022,1,0,1
Solomon Islands,Papua New Guinea,2022,3,2,5
Barbados,Guyana,2022,0,5,5
Belize,Cuba,2022,0,3,3
Benin,Zambia,2022,2,1,3
Guatemala,Haiti,2022,2,1,3
Laos,Brunei Darussalam,2022,3,2,5
Liberia,Sierra Leone,2022,0,1,1
Thailand,Suriname,2022,1,0,1
South Sudan,Djibouti,2022,1,0,1
Lesotho,Seychelles,2022,3,1,4
Eswatini,Somalia,2022,2,1,3
Mauritius,São Tomé and Príncipe,2022,3,3,6
Andorra,Grenada,2022,1,0,1
Cabo Verde,San Marino,2022,2,0,2
Montenegro,Greece,2022,1,0,1
Vanuatu,Fiji,2022,1,2,3
Algeria,Cameroon,2022,1,2,3
Morocco,Congo DR,2022,4,1,5
Nigeria,Ghana,2022,1,1,2
Senegal,Egypt,2022,1,0,1
Tunisia,Mali,2022,0,0,0
IR Iran,Lebanon,2022,2,0,2
Syria,Iraq,2022,1,1,2
United Arab Emirates,Korea Republic,2022,1,0,1
Japan,Vietnam,2022,1,1,2
Oman,China PR,2022,2,0,2
Saudi Arabia,Australia,2022,1,0,1
Ecuador,Argentina,2022,1,1,2
Peru,Paraguay,2022,2,0,2
Bolivia,Brazil,2022,0,4,4
Venezuela,Colombia,2022,0,1,1
Chile,Uruguay,2022,0,2,2
Poland,Sweden,2022,2,0,2
Portugal,North Macedonia,2022,2,0,2
Albania,Georgia,2022,0,0,0
Angola,Equatorial Guinea,2022,0,0,0
Austria,Scotland,2022,2,2,4
Azerbaijan,Latvia,2022,0,1,1
Bahrain,Belarus,2022,0,1,1
Bangladesh,Mongolia,2022,0,0,0
Belgium,Burkina Faso,2022,3,0,3
Bosnia and Herzegovina,Luxembourg,2022,1,0,1
Congo,Sierra Leone,2022,1,2,3
Croatia,Bulgaria,2022,2,1,3
Denmark,Serbia,2022,3,0,3
England,Côte d'Ivoire,2022,3,0,3
Faroe Islands,Liechtenstein,2022,1,0,1
Finland,Slovakia,2022,0,2,2
France,South Africa,2022,5,0,5
Israel,Romania,2022,2,2,4
Liberia,Burundi,2022,1,2,3
Malta,Kuwait,2022,2,0,2
Mauritania,Libya,2022,2,0,2
Netherlands,Germany,2022,1,1,2
Northern Ireland,Hungary,2022,0,1,1
Norway,Armenia,2022,9,0,9
Qatar,Slovenia,2022,0,0,0
Republic of Ireland,Lithuania,2022,1,0,1
Singapore,Philippines,2022,2,0,2
Spain,Iceland,2022,5,0,5
Switzerland,Kosovo,2022,1,1,2
Tanzania,Sudan,2022,1,1,2
Togo,Benin,2022,1,1,2
Trinidad and Tobago,Guyana,2022,1,1,2
Turkey,Italy,2022,2,3,5
Wales,Czech Republic,2022,1,1,2
Tajikistan,Kyrgyz Republic,2022,1,0,1
Uzbekistan,Uganda,2022,4,2,6
Cyprus,Estonia,2022,2,0,2
Kazakhstan,Moldova,2022,0,1,1
Gambia,Chad,2022,2,2,4
Mexico,El Salvador,2022,2,0,2
Costa Rica,USA,2022,2,0,2
Panama,Canada,2022,1,0,1
Jamaica,Honduras,2022,2,1,3
Solomon Islands,New Zealand,2022,0,5,5
El Salvador,Guatemala,2022,0,4,4
Mexico,Guatemala,2022,0,0,0
Bahamas,Turks and Caicos Islands,2022,4,2,6
Dominica,St. Vincent and the Grenadines,2022,2,1,3
Bahamas,Turks and Caicos Islands,2022,1,2,3
Dominica,St. Vincent and the Grenadines,2022,3,1,4
Mozambique,Eswatini,2022,0,1,1
Thailand,Bahrain,2022,3,1,4
Bahrain,Myanmar,2022,2,0,2
Malaysia,Brunei Darussalam,2022,4,0,4
Thailand,Turkmenistan,2022,1,0,1
Ethiopia,Lesotho,2022,1,1,2
India,Jordan,2022,0,2,2
Mexico,Nigeria,2022,2,1,3
United Arab Emirates,Gambia,2022,1,1,2
Ethiopia,Lesotho,2022,1,1,2
Trinidad and Tobago,St. Lucia,2022,1,0,1
Thailand,Bahrain,2022,1,2,3
Italy,Argentina,2022,0,3,3
Scotland,Ukraine,2022,1,3,4
Angola,Central African Republic,2022,2,1,3
Ghana,Madagascar,2022,3,0,3
Libya,Botswana,2022,1,0,1
Poland,Wales,2022,2,1,3
Australia,Jordan,2022,2,1,3
Indonesia,Bangladesh,2022,0,0,0
Malta,Venezuela,2022,0,1,1
Kuwait,Singapore,2022,0,0,0
Malaysia,Hong Kong,2022,2,0,2
Syria,Tajikistan,2022,1,0,1
USA,Morocco,2022,3,0,3
Vietnam,Afghanistan,2022,2,0,2
Tunisia,Equatorial Guinea,2022,4,0,4
Mozambique,Rwanda,2022,1,1,2
Panama,Costa Rica,2022,2,0,2
Barbados,Antigua and Barbuda,2022,0,1,1
Belize,Dominican Republic,2022,0,2,2
Anguilla,Dominica,2022,0,0,0
Czech Republic,Switzerland,2022,2,1,3
Spain,Portugal,2022,1,1,2
Israel,Iceland,2022,2,2,4
Serbia,Norway,2022,0,1,1
Slovenia,Sweden,2022,0,2,2
Northern Ireland,Greece,2022,0,1,1
Cyprus,Kosovo,2022,0,2,2
Georgia,Gibraltar,2022,4,0,4
Bulgaria,North Macedonia,2022,1,1,2
Estonia,San Marino,2022,2,0,2
Cambodia,Timor-Leste,2022,2,1,3
Ecuador,Nigeria,2022,1,0,1
Japan,Paraguay,2022,4,1,5
Korea Republic,Brazil,2022,1,5,6
Mexico,Uruguay,2022,0,3,3
Togo,Eswatini,2022,2,2,4
Burkina Faso,Cabo Verde,2022,2,0,2
Comoros,Lesotho,2022,2,0,2
Côte d'Ivoire,Zambia,2022,3,1,4
Curaçao,Honduras,2022,0,1,1
Bahamas,St. Vincent and the Grenadines,2022,1,0,1
Nicaragua,Trinidad and Tobago,2022,2,1,3
British Virgin Islands,Cayman Islands,2022,1,1,2
Croatia,Austria,2022,0,3,3
France,Denmark,2022,1,2,3
Belgium,Netherlands,2022,1,4,5
Kazakhstan,Azerbaijan,2022,2,0,2
Belarus,Slovakia,2022,0,1,1
Liechtenstein,Moldova,2022,0,2,2
Latvia,Andorra,2022,3,0,3
Nepal,Oman,2022,0,2,2
Namibia,Burundi,2022,1,1,2
Niger,Tanzania,2022,1,1,2
Algeria,Uganda,2022,2,0,2
Gambia,South Sudan,2022,1,0,1
Mali,Congo,2022,4,0,4
Mauritania,Sudan,2022,3,0,3
Congo DR,Gabon,2022,0,1,1
Senegal,Benin,2022,3,1,4
Suriname,Jamaica,2022,1,1,2
El Salvador,Grenada,2022,3,1,4
Bermuda,Haiti,2022,0,0,0
Montserrat,Guyana,2022,1,2,3
Hungary,England,2022,1,0,1
Italy,Germany,2022,1,1,2
Armenia,Republic of Ireland,2022,1,0,1
Finland,Bosnia and Herzegovina,2022,1,1,2
Montenegro,Romania,2022,2,0,2
Lithuania,Luxembourg,2022,0,2,2
Turkey,Faroe Islands,2022,4,0,4
Wales,Ukraine,2022,1,0,1
Malawi,Ethiopia,2022,2,1,3
Egypt,Guinea,2022,1,0,1
Central African Republic,Ghana,2022,1,1,2
Madagascar,Angola,2022,1,1,2
Botswana,Tunisia,2022,0,0,0
Cuba,Barbados,2022,3,0,3
Guatemala,Belize,2022,2,0,2
Dominica,Anguilla,2022,1,1,2
Portugal,Switzerland,2022,4,0,4
Czech Republic,Spain,2022,2,2,4
Serbia,Slovenia,2022,4,1,5
Sweden,Norway,2022,1,2,3
Cyprus,Northern Ireland,2022,0,0,0
Kosovo,Greece,2022,0,1,1
Gibraltar,North Macedonia,2022,0,2,2
Bulgaria,Georgia,2022,2,5,7
San Marino,Malta,2022,0,2,2
Argentina,Estonia,2022,5,0,5
Mexico,Ecuador,2022,0,0,0
Peru,New Zealand,2022,1,0,1
Saudi Arabia,Colombia,2022,0,1,1
USA,Uruguay,2022,0,0,0
Equatorial Guinea,Libya,2022,2,0,2
Honduras,Curaçao,2022,1,2,3
St. Vincent and the Grenadines,Nicaragua,2022,2,2,4
Trinidad and Tobago,Bahamas,2022,1,0,1
US Virgin Islands,Turks and Caicos Islands,2022,3,2,5
Cayman Islands,British Virgin Islands,2022,1,1,2
Austria,Denmark,2022,1,2,3
Croatia,France,2022,1,1,2
Iceland,Albania,2022,1,1,2
Belarus,Azerbaijan,2022,0,0,0
Slovakia,Kazakhstan,2022,0,1,1
Latvia,Liechtenstein,2022,1,0,1
Andorra,Moldova,2022,0,0,0
Korea Republic,Chile,2022,2,0,2
Japan,Brazil,2022,0,1,1
Eswatini,Burkina Faso,2022,1,3,4
Cabo Verde,Togo,2022,2,0,2
Zambia,Comoros,2022,2,1,3
Senegal,Rwanda,2022,1,0,1
Jamaica,Suriname,2022,3,1,4
Grenada,El Salvador,2022,2,2,4
Guyana,Bermuda,2022,2,1,3
Haiti,Montserrat,2022,3,2,5
Germany,England,2022,1,1,2
Italy,Hungary,2022,2,1,3
Finland,Montenegro,2022,2,0,2
Bosnia and Herzegovina,Romania,2022,1,0,1
Faroe Islands,Luxembourg,2022,0,1,1
